,date,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,ClosingStockPrice
104,2018-12-31,MPLX,92765600.0,0.0,92765600.0,963125200.0,105043400.0,62753200.0,1223687400.0,19970523800.0,3527821200.0,578420800.0,4106242000.0000005,5694170800.0,17734600.0,62753200.0,29851424400.0,0.0,31075111800.0,221000400.0,1214138000.0,0.0,69574200.0,113228600.0,1617941200.0,18269366400.0,167796600.0,17734600.0,1638404200.0,20093301800.0,0.0,0.0,21711243000.0,0.0,0.0,0.0,-21827200.0,21827200.0,9363868800.0,9576684000.0,31075111800.0,212815200.0,31075111800.0,5694170800.0,18269366400.0,18176600800.0,24.351915048217776
105,2022-12-30,SLB,2241532000.0,1678101600.0,3919633600.0,9524140800.0,5416245600.0,1460043200.0,20320063200.0,8948520800.0,17582820800.0,4052364800.0,21635185600.0,2141306400.0,0.0,5376968000.0,38101980800.0,0.0,58422044000.0,12353482400.0,2210380800.0,1357108800.0,1567040800.0,146275200.0,16277179200.0,14348513600.0,0.0,82618400.0,3349431200.0,17780563200.0,0.0,0.0,34057742400.0,0.0,16032032800.0,14517813600.0,-5221212000.0,-964332800.0,24364301600.0,24776039200.0,58422044000.0,411737600.0,58422044000.0,6559359200.0,16558894400.0,14317362400.0,71.0344473968506
106,2021-12-31,SLB,2227524600.0,1752099600.0,3979624200.0,6738357000.0,4148241600.0,1176518400.0,16042741200.0,8150686200.0,16468722000.0,4070905800.0,20539627800.0,2591383200.0,0.0,5303207400.0,36584904600.0,0.0,52627645800.0,10626699600.0,1152430200.0,1114396200.0,1379366400.0,-25356000.0,13133140200.0,16843990800.0,173688600.0,119173200.0,2978062200.0,20114914800.0,0.0,0.0,33248055000.0,0.0,15984422400.0,10394692200.0,-4526046000.0,-2473477800.0,19379590800.0,19737110400.0,52627645800.0,357519600.0,52627645800.0,4343482800.0,17996421000.0,15768896400.0,36.705282302856446
107,2020-12-31,SLB,1074580800.0,2752658400.0,3827239200.0000005,6680480400.000001,4270312800.0000005,5940751200.000001,16448470800.000002,8690863200.0,16526136000.000002,4398906000.0,20925042000.0,2624065200.0,-2624065200.0,8134474800.000001,37750380000.0,0.0,54198850800.00001,10748354400.0,1082220000.0,1292298000.0,1198081200.0,328485600.0,13357141200.000002,20417035200.0,1335586800.0,24190800.000000004,3163902000.0000005,24940714800.000004,0.0,0.0,38297856000.0,0.0,16513404000.000002,8935317600.0,-6218308800.000001,-3329418000.0000005,15900994800.000002,16433192400.000002,54198850800.00001,532197600.00000006,54198850800.00001,5376723600.0,21499255200.0,20424674400.0,26.406068142700196
108,2019-12-31,SLB,1476735600.0,1337764000.0,2814499600.0,10061803600.0,5364044000.0,7294060800.0,20170364000.0,12039876000.0,20835349600.0,9207193200.0,30042542800.0,2032622000.0,-2032622000.0,10885242800.0,52967661600.0,0.0,73138025600.0,13849104400.0,680571200.0,1570249200.0,1181908000.0,1300098800.0,17011682400.0,19183276000.0,1255939600.0,637710800.0,3649628000.0,24726554400.0,0.0,0.0,41738236800.0,0.0,16985706400.0,24353798800.0,-5764074400.0,-4175642000.0,31399788800.0,31940089600.0,73138025600.0,540300800.0,73138025600.0,3370386000.0,19863847200.0,18387111600.0,47.94175483703613
109,2018-12-31,SLB,1954898600.0,1833484800.0,3788383400.0,10751260200.0,5470442000.0,6920586600.0,21460230200.0,15932491800.0,34010870200.000004,11905373400.0,45916243600.0,2098139600.0000002,-2098139600.0000002,12876683800.0,74725419200.0,0.0,96185649400.0,13946216600.0,1919429400.0,1575651000.0,1196403400.0,1335551800.0,18397601200.0,19977344800.0,1572922600.0,1965812200.0,4361347400.0,27877427000.0,0.0,0.0,46275028200.0,578420800.0,17914674400.0,43187843600.0,-6305332400.0,-5464985200.0,49910621200.0,50489042000.0,96185649400.0,578420800.0,96185649400.0,3931624400.0,21896774200.0,19941875600.0,42.77280167427063
110,2022-12-30,EOG,8088476800.0,0.0,8088476800.0,3888482400.0,1432955200.0,777425600.0,14187340000.0,39858637600.0,0.0,0.0,0.0,0.0,44695200.0,1942209600.0,41845542400.0,0.0,56032882400.0,3429340800.0,2138597600.0,548532000.0,0.0,1898868800.0,7466807200.0,5139948000.0,0.0,6379224000.0,3486225600.0,15005397600.0,0.0,400902400.0,22472204800.0,0.0,279006400.0,25018476800.0,-10835200.0,8274029600.0,33560677600.0,33560677600.0,56032882400.0,0.0,56032882400.0,0.0,7278545600.0,-809931200.0,167.20220518798828
111,2021-12-31,EOG,6603970200.0,0.0,6603970200.0,2960313000.0,740395200.0,578116800.0,10882795200.0,36038482800.0,0.0,0.0,0.0,0.0,13945800.0,1540377000.0,37592805600.0,0.0,48475600800.0,2842407600.0,351180600.0,656720400.0,1209481200.0,721378200.0,5124447600.0,6430281600.0,0.0,6020782200.0,2780285400.0,15231349200.0,0.0,304272000.0,20355796800.0,0.0,261166800.0,20182108200.0,-15213600.0,7691742600.0,28119804000.0,28119804000.0,48475600800.0,0.0,48475600800.0,0.0,6781462200.0,177492000.0,99.76258539733887
112,2020-12-31,EOG,4238391129.6000004,0.0,4238391129.6000004,1967467047.6000001,801353353.2,374304248.40000004,7463712297.6,36411771896.4,0.0,0.0,0.0,0.0,2708096.4000000004,1708225702.8000002,38122705695.600006,0.0,45586417993.200005,2140494927.6000001,1370145267.6000001,261965992.8,538783863.6,355980354.00000006,4405404412.8,6411008893.200001,0.0,6186895136.400001,2734747022.4,15332651052.000002,0.0,375707314.8,19738055464.800003,0.0,262071668.40000004,18041204530.800003,-15696009.600000001,7560782338.8,25848362528.4,25848362528.4,45586417993.200005,0.0,45586417993.200005,0.0,7781154160.800001,3542763031.2000003,53.11572481842042
113,2019-12-31,EOG,2633930033.6,0.0,2633930033.6,2796735912.4,996565343.6,420094262.4,6849012693.2,39437535986.0,0.0,0.0,0.0,0.0,3069064.4,1927823126.8,41368428177.2,0.0,48217440870.4,3154950147.6,1797395033.2,330999180.0,546954552.4,328400281.2,5827700014.4,5404201597.2,0.0,6553875978.8,2324701339.2,14282778915.199999,0.0,479731262.0,20110478929.6,0.0,267321613.6,20324406875.2,-6042017.6,7521275469.599999,28106961940.8,28106961940.8,48217440870.4,0.0,48217440870.4,0.0,7201596630.4,4567666596.8,88.29825488586425
